months,budget,gap,left,right,shared,left_only,right_only,reciprocal,jaccard
3,1500,5,0.75,1.00,6,3,0,False,0.6666666666666666
3,1500,5,0.75,1.25,5,4,0,False,0.5555555555555556
3,1500,5,0.75,1.50,5,4,0,False,0.5555555555555556
3,1500,5,0.75,1.75,7,2,0,False,0.7777777777777778
3,1500,5,0.75,2.00,7,2,1,True,0.7
3,1500,5,0.75,2.25,7,2,1,True,0.7
3,1500,5,0.75,2.50,8,1,1,True,0.8
3,1500,5,0.75,2.75,8,1,1,True,0.8
3,1500,5,0.75,3.00,7,2,1,True,0.7
3,1500,5,0.75,3.25,7,2,0,False,0.7777777777777778
3,1500,5,0.75,3.50,7,2,0,False,0.7777777777777778
3,1500,5,1.00,1.25,5,1,0,False,0.8333333333333334
3,1500,5,1.00,1.50,5,1,0,False,0.8333333333333334
3,1500,5,1.00,1.75,6,0,1,False,0.8571428571428571
3,1500,5,1.00,2.00,6,0,2,False,0.75
3,1500,5,1.00,2.25,6,0,2,False,0.75
3,1500,5,1.00,2.50,6,0,3,False,0.6666666666666666
3,1500,5,1.00,2.75,6,0,3,False,0.6666666666666666
